timestamp,worker_id,session_id,prompt_code,temperature,frequency_penalty,num_query,num_selected,perc_selected,num_cursor,time,num_event,written_by_human
8/18/2021 15:31:16,A1QUQ0TV9KVD4C,2f7b16fcf52c46649d87e2d35897fcd0,screen,0.2,0.5,11,9,82,3,9.53,836,58
8/19/2021 0:25:59,A3O5RKGH6VB19C,1b15da4de55047cf85b1ca1adbb860a6,dating,0.2,0.5,1,0,0,7,9.2,2593,100
8/19/2021 0:48:11,A3O5RKGH6VB19C,586931064c24482796b7e0aade9a711b,stereotype,0.2,0.5,2,2,100,1,9.24,1644,91
8/19/2021 12:28:14,APRZ7BR8C0ZMQ,e76e0164df714bae95772dba5e3d7a5f,stereotype,0.2,0.5,2,1,50,2,10.43,2361,96
8/19/2021 12:40:04,A3O5RKGH6VB19C,a23600c207bd470c929852b33b9a2946,screen,0.9,0.5,5,4,80,5,9.49,1243,72
8/19/2021 12:50:35,A3O5RKGH6VB19C,7b2aaf58f55a434f91bb71515a329f13,dating,0.9,0.5,1,1,100,4,9.47,1852,98
8/19/2021 12:54:22,A3MYPYBVHX7FQ2,f170aa855728465589f57f1c3154f55a,dating,0.2,0.5,5,4,80,8,9.77,1626,78
8/19/2021 13:27:33,A2EED3HLTA96CP,9f2ba74210184ca1843adc31044612bb,screen,0.2,0.5,9,5,56,70,9.44,1050,79
8/19/2021 13:53:53,A2EED3HLTA96CP,1d62258005fb48a481225aed62066b36,screen,0.2,0.5,20,17,85,53,9.82,1164,39
8/19/2021 14:51:27,A2OVOVZBJYUO,506752c9b184496994a69279e5d63610,dating,0.9,0.5,11,6,55,25,9.84,1975,77
8/19/2021 1:07:17,A1PBRKFHSF1OF8,738bf296e71f42de8155defdaaca17ce,school,0.2,0.5,11,5,45,0,9.15,1193,75
8/19/2021 1:19:32,A17Q4QN6UE0EZC,5294630b417446fdb469da4f7ca41488,dating,0.2,0.5,6,4,67,15,11.69,2465,86
8/19/2021 20:51:37,A3O5RKGH6VB19C,8b3585b594e24e0dbfd53eae933d2f4a,dating,0.9,0.5,6,4,67,6,9.59,1929,84
8/19/2021 22:36:05,A3O5RKGH6VB19C,269f101ba0da4aa3a5ce0bf3a65bade1,school,0.2,0.5,0,0,0,9,9.63,2575,100
8/19/2021 2:23:01,A2EED3HLTA96CP,6efda955ff5643aab9d94b60c4b1cdee,dating,0.2,0.5,14,9,64,47,10.59,1281,74
8/19/2021 3:12:11,A2EED3HLTA96CP,8fa18f2fac174742b19861bb9f802345,stereotype,0.2,0.5,8,3,38,64,10.07,1392,91
8/19/2021 3:38:40,ASVRLMDNQBUD9,01e3a2f5c2a442fe9225e0c9ef56a5f5,screen,0.9,0.5,3,3,100,9,12.72,1568,92
8/19/2021 3:45:26,A2EED3HLTA96CP,13746247c1024f0493dca4d1d2173719,pads,0.2,0.5,7,7,100,71,11.35,1382,75
8/19/2021 3:59:54,A2EED3HLTA96CP,c7dc5563ed07478f9284190b6085f4d3,screen,0.9,0.5,6,4,67,80,10.91,1311,75
8/19/2021 4:13:28,A3MYPYBVHX7FQ2,bd6ab310459647bcb8f5bda6578b0d72,screen,0.2,0.5,5,5,100,65,12.66,1862,81
8/19/2021 4:30:04,A3DUPRZSMU9W5R,25ffdce6009a47f08c72347a283d256e,pads,0.2,0.5,4,3,75,4,10,2937,91
8/19/2021 4:36:24,A2EED3HLTA96CP,108dc8943a93452cb3d9321ceab2e989,school,0.2,0.5,8,7,88,102,14.13,1814,79
8/19/2021 4:42:22,A3DUPRZSMU9W5R,9d08c8ebec4c4e4fbd01d2a918b8f5f6,stereotype,0.2,0.5,7,3,43,9,10.26,2601,91
8/19/2021 4:44:04,A1PTH9KTRO06EG,917d343c54e145969496c1aabe8c321c,school,0.9,0.5,1,1,100,6,11.24,2882,96
8/19/2021 5:16:10,A2EED3HLTA96CP,780c48b1977548dfa5e66adf6b2f9d51,screen,0.9,0.5,12,11,92,57,10.58,1299,51
8/19/2021 5:17:24,A1QUQ0TV9KVD4C,ce62f7cdb323419ebd92d4dc8b61cdb1,pads,0.9,0.5,11,7,64,1,10.03,895,61
8/19/2021 5:30:23,A1QUQ0TV9KVD4C,b4fdc128ddcb442b82eb4c0bc2607479,stereotype,0.9,0.5,12,8,67,0,9.96,841,53
8/19/2021 5:37:47,A1PTH9KTRO06EG,04ebdfae0edc4adcb7e59ff060b45e72,stereotype,0.2,0.5,1,1,100,5,9.86,2668,98
8/19/2021 5:43:20,A1QUQ0TV9KVD4C,017c174e78ca46248ae1f6b43d5500d8,pads,0.9,0.5,12,7,58,4,10.25,940,67
8/19/2021 5:55:33,A1QUQ0TV9KVD4C,12c7f30c5ba146e2a880fac46bc1e27c,stereotype,0.2,0.5,12,7,58,4,9.82,841,68
8/19/2021 6:13:42,A1QUQ0TV9KVD4C,b2cf63a646e54d94b4fcb6d060b6c452,school,0.2,0.5,16,8,50,35,9.77,995,60
8/19/2021 6:25:58,A1QUQ0TV9KVD4C,21c3924c87fe4c8397bd84b3dce54dc5,school,0.2,0.5,14,12,86,0,9.89,1068,52
8/19/2021 6:39:08,A1QUQ0TV9KVD4C,b30238629d9040b192604dfd1f7d3eaa,pads,0.2,0.5,14,10,71,0,9.59,1080,64
8/19/2021 6:40:37,ASVRLMDNQBUD9,9e408240b6c34495b3d20597eaa1dd80,school,0.9,0.5,9,8,89,5,10.06,1227,64
8/19/2021 6:50:58,A1QUQ0TV9KVD4C,8d5bc658213f46b881b2a862bfd5a105,school,0.9,0.5,12,10,83,5,9.52,708,44
8/19/2021 6:58:01,A1PTH9KTRO06EG,c362a09a04644abcab777be73f508034,dating,0.9,0.5,2,0,0,4,10.37,3044,100
8/19/2021 7:02:17,A1QUQ0TV9KVD4C,c6c9790c4a044b94b6412a7abd98c8c5,pads,0.2,0.5,13,10,77,0,9.22,667,41
8/19/2021 7:03:16,A1QUQ0TV9KVD4C,8637ce05b848420f920d5ca02f88a89a,pads,0.2,0.5,23,14,61,2,9.57,805,41
8/19/2021 7:23:03,A1QUQ0TV9KVD4C,cba52478a6aa49519c88dd9db1e5473f,stereotype,0.2,0.5,15,9,60,5,9.8,835,60
8/19/2021 7:23:52,A1QUQ0TV9KVD4C,9c4942cdf0d94b6d9ce49896e0093da6,school,0.9,0.5,13,6,46,0,10.68,863,58
8/19/2021 7:51:31,A1QUQ0TV9KVD4C,bd374899c3cb4c83bf9b206791fbd70f,stereotype,0.2,0.5,14,10,71,6,9.61,866,53
8/19/2021 7:51:37,ASVRLMDNQBUD9,e1aca0ed8d134ee09510f62c2646be1c,school,0.2,0.5,7,5,71,32,10.05,1528,83
8/19/2021 7:52:54,A1QUQ0TV9KVD4C,40321204ac204fc3b3aa443db377eeaf,stereotype,0.9,0.5,17,15,88,3,9.84,481,20
8/19/2021 8:08:30,A1QUQ0TV9KVD4C,a95d1ccaabd943ecbbc2eaadc7b30802,school,0.2,0.5,19,15,79,2,9.97,896,48
8/19/2021 8:16:19,A3MYPYBVHX7FQ2,5fb284a8453d4fbdb665675cbe8b4486,pads,0.9,0.5,4,3,75,53,12.32,1837,79
8/19/2021 9:44:24,A1WKF2VH7TV0H2,8db57b4ba7e048a9bf984a13233f3cf9,pads,0.2,0.5,3,2,67,16,7.77,1474,93
8/19/2021 9:54:06,ASVRLMDNQBUD9,1b693f634f3047d6aa0bfafd486fcd51,dating,0.9,0.5,5,4,80,8,10.15,1383,80
8/20/2021 10:07:50,A3MYPYBVHX7FQ2,a6dd76d59f0a4cf0a6fdc4455fa4b639,screen,0.9,0.5,10,10,100,83,11.2,2052,62
8/20/2021 12:09:15,A3MYPYBVHX7FQ2,b6620ed18c174f708138abb59ade11ca,stereotype,0.2,0.5,11,7,64,3,10.89,2008,77
8/20/2021 13:58:16,A3MYPYBVHX7FQ2,193eacf06dee44f788a52e1d2652419b,pads,0.2,0.5,5,3,60,101,11.06,1699,92
8/20/2021 16:27:36,A2YTQDLACTLIBA,ec89045037c142869afb5fad66c0c912,pads,0.2,0.5,2,1,50,16,10.27,1530,93
8/20/2021 16:55:14,A2YTQDLACTLIBA,f5258cb106194b4ea243d3842e00b667,stereotype,0.2,0.5,2,1,50,7,10.1,1644,95
8/20/2021 17:08:46,A2YTQDLACTLIBA,f5649183e4c24bd785459406069e0530,screen,0.2,0.5,3,2,67,12,10.13,1632,95
8/20/2021 17:42:27,A3O5RKGH6VB19C,61f79cbacda542fd92422b4be43132b9,stereotype,0.2,0.5,1,1,100,0,9.69,2038,96
8/20/2021 2:56:13,A3MYPYBVHX7FQ2,49e04e987bbe4e59bf2baab73f486a26,school,0.9,0.5,6,5,83,16,13.3,2339,81
8/20/2021 3:17:06,A2EED3HLTA96CP,244d645564d1493f993123ac70f899e4,dating,0.2,0.5,7,7,100,78,11.43,1563,75
8/20/2021 3:30:01,A2EED3HLTA96CP,626c3c43e024479baaa6948e2c4b6e27,pads,0.9,0.5,8,6,75,71,10.02,1065,63
8/20/2021 3:57:20,A3DUPRZSMU9W5R,024f6a5d399545ceb4e9482fe575aa51,screen,0.2,0.5,9,5,56,11,10.08,2639,88
8/20/2021 3:58:02,A2EED3HLTA96CP,6e931e7308f94a198553a8f24c8feb5e,stereotype,0.2,0.5,9,6,67,76,11.47,1432,72
8/20/2021 4:19:42,A3DUPRZSMU9W5R,b609372842a94db2b278d4ad7f7e366b,school,0.9,0.5,5,2,40,3,11.2,2910,93
8/20/2021 4:44:30,A2EED3HLTA96CP,913991c2f1c843f68d2f549533418965,school,0.9,0.5,9,5,56,70,11.42,1408,71
8/20/2021 5:00:07,A2EED3HLTA96CP,0b755c9e2338496587d0b88471056e6b,school,0.2,0.5,11,9,82,100,11.75,1547,69
8/20/2021 5:38:01,A2EED3HLTA96CP,52c100caa73b4d7ba9185287b8863362,dating,0.9,0.5,9,6,67,122,14.24,1610,67
8/20/2021 6:13:15,A2EED3HLTA96CP,3b62a2036d2643faa4590b94c3fb0d35,school,0.9,0.5,7,5,71,65,9.77,1335,63
8/20/2021 6:57:10,A2EED3HLTA96CP,f84d42f7c64c4b92b75b3d718a99c8c4,school,0.2,0.5,7,2,29,73,10.19,1442,88
8/20/2021 8:59:05,A3MYPYBVHX7FQ2,af35478b772442319c64d331bc779ed0,stereotype,0.9,0.5,8,5,62,3,11.88,2078,83
8/20/2021 9:31:19,A3MYPYBVHX7FQ2,434f519e8863442f810796865db83047,dating,0.9,0.5,9,7,78,5,11.12,2102,71
8/21/2021 10:14:40,A2YTQDLACTLIBA,85ee6ffba76749fb8e6f066683b0a56a,school,0.9,0.5,9,9,100,18,10.05,1361,65
8/21/2021 13:04:35,APRZ7BR8C0ZMQ,f86e93e1f9e8447baa49531e1fe80f04,screen,0.2,0.5,4,3,75,0,10.83,2206,93
8/21/2021 13:25:05,A1PTH9KTRO06EG,842e37eb2e4d49ea883303dd9b01dc54,stereotype,0.9,0.5,2,0,0,0,9.92,2629,100
